,Age,kmDriven,Owner,AskPrice,FuelType_Diesel,FuelType_Hybrid/CNG,FuelType_Petrol,Cluster
0,23.0,98000.0,1.0,195000.0,0.0,0.0,1.0,0
1,15.0,190000.0,1.0,375000.0,1.0,0.0,0.0,0
2,14.0,77246.0,0.0,184999.0,1.0,0.0,0.0,0
3,7.0,83500.0,1.0,565000.0,1.0,0.0,0.0,0
4,5.0,45000.0,0.0,685000.0,0.0,0.0,1.0,0
5,10.0,83000.0,0.0,1350000.0,1.0,0.0,0.0,0
6,10.0,168000.0,1.0,1025000.0,1.0,0.0,0.0,0
7,5.0,25000.0,1.0,5950000.0,1.0,0.0,0.0,1
8,4.0,33759.0,1.0,622000.0,0.0,0.0,1.0,0
9,7.0,69713.0,1.0,649000.0,0.0,0.0,1.0,0
10,6.0,70000.0,0.0,395000.0,0.0,0.0,1.0,0
11,3.0,25000.0,0.0,2900000.0,1.0,0.0,0.0,1
12,12.0,72700.0,1.0,240000.0,0.0,0.0,1.0,0
13,17.0,121931.0,1.0,201350.0,0.0,0.0,1.0,0
14,3.0,32000.0,1.0,11800000.0,0.0,0.0,1.0,2
15,6.0,130000.0,1.0,330000.0,1.0,0.0,0.0,0
16,4.0,68000.0,0.0,1045000.0,1.0,0.0,0.0,0
17,8.0,65000.0,1.0,785000.0,1.0,0.0,0.0,0
18,7.0,59000.0,1.0,555000.0,0.0,0.0,1.0,0
19,9.0,61000.0,1.0,1500000.0,1.0,0.0,0.0,0
20,5.0,77000.0,1.0,2399000.0,1.0,0.0,0.0,1
21,7.0,107000.0,0.0,1325000.0,1.0,0.0,0.0,0
22,14.0,99000.0,0.0,295000.0,0.0,0.0,1.0,0
23,9.0,42000.0,1.0,1050000.0,1.0,0.0,0.0,0
24,5.0,48073.0,1.0,355000.0,0.0,0.0,1.0,0
25,5.0,32618.0,0.0,1250000.0,0.0,0.0,1.0,0
26,12.0,70000.0,1.0,315000.0,1.0,0.0,0.0,0
27,10.0,51000.0,1.0,345000.0,0.0,0.0,1.0,0
28,6.0,137000.0,0.0,845000.0,1.0,0.0,0.0,0
29,1.0,1996.0,0.0,4195000.0,1.0,0.0,0.0,1
30,7.0,90000.0,1.0,1950000.0,1.0,0.0,0.0,0
31,13.0,84000.0,1.0,490000.0,1.0,0.0,0.0,0
32,6.0,53000.0,0.0,2950000.0,1.0,0.0,0.0,1
33,3.0,17000.0,0.0,685000.0,0.0,0.0,1.0,0
34,6.0,70000.0,1.0,749000.0,0.0,0.0,1.0,0
35,1.0,5000.0,0.0,1600000.0,0.0,0.0,1.0,0
36,2.0,47110.0,1.0,1695000.0,1.0,0.0,0.0,0
37,5.0,35000.0,0.0,585000.0,0.0,0.0,1.0,0
38,5.0,101570.0,0.0,4200000.0,1.0,0.0,0.0,1
39,3.0,42000.0,1.0,675000.0,0.0,0.0,1.0,0
40,6.0,30000.0,1.0,630000.0,0.0,0.0,1.0,0
41,8.0,82100.0,1.0,465000.0,1.0,0.0,0.0,0
42,12.0,90000.0,1.0,899000.0,1.0,0.0,0.0,0
43,13.0,193000.0,1.0,1125000.0,1.0,0.0,0.0,0
44,9.0,65000.0,0.0,1750000.0,1.0,0.0,0.0,0
45,2.0,30000.0,1.0,1690000.0,0.0,0.0,1.0,0
46,4.0,94856.0,0.0,690000.0,0.0,0.0,1.0,0
47,1.0,12000.0,0.0,1800000.0,0.0,0.0,1.0,0
48,6.0,0.0,0.0,500000.0,0.0,0.0,1.0,0
49,14.0,500000.0,0.0,800000.0,1.0,0.0,0.0,0
50,6.0,118000.0,0.0,1795000.0,1.0,0.0,0.0,0
51,8.0,41000.0,1.0,2000000.0,0.0,0.0,1.0,0
52,14.0,79000.0,1.0,290000.0,0.0,0.0,1.0,0
53,8.0,103001.0,1.0,555555.0,1.0,0.0,0.0,0
54,7.0,70000.0,1.0,765000.0,0.0,0.0,1.0,0
55,6.0,130000.0,0.0,690000.0,1.0,0.0,0.0,0
56,13.0,78000.0,1.0,225000.0,0.0,0.0,1.0,0
57,7.0,115000.0,1.0,2390000.0,1.0,0.0,0.0,1
58,7.0,160000.0,1.0,550000.0,1.0,0.0,0.0,0
59,7.0,27000.0,1.0,300000.0,0.0,0.0,1.0,0
60,4.0,81600.0,0.0,1021000.0,0.0,0.0,1.0,0
61,7.0,54000.0,0.0,811000.0,0.0,0.0,1.0,0
62,6.0,76000.0,0.0,1125000.0,1.0,0.0,0.0,0
63,10.0,86000.0,0.0,3000000.0,1.0,0.0,0.0,1
64,13.0,65000.0,1.0,115000.0,0.0,0.0,1.0,0
65,6.0,60000.0,1.0,1450000.0,1.0,0.0,0.0,0
66,1.0,24000.0,0.0,1225000.0,0.0,0.0,1.0,0
67,13.0,100231.0,1.0,429101.0,1.0,0.0,0.0,0
68,1.0,13000.0,1.0,610000.0,0.0,0.0,1.0,0
69,7.0,47000.0,0.0,519999.0,0.0,0.0,1.0,0
70,17.0,115031.0,1.0,140000.0,0.0,0.0,1.0,0
71,10.0,67000.0,0.0,280000.0,0.0,0.0,1.0,0
72,8.0,74500.0,0.0,425000.0,1.0,0.0,0.0,0
73,8.0,93000.0,1.0,575000.0,0.0,0.0,1.0,0
74,9.0,59000.0,0.0,295000.0,0.0,0.0,1.0,0
75,7.0,79000.0,1.0,1725000.0,1.0,0.0,0.0,0
76,2.0,69000.0,0.0,1250000.0,1.0,0.0,0.0,0
77,9.0,76000.0,1.0,650000.0,1.0,0.0,0.0,0
78,4.0,34500.0,0.0,935000.0,0.0,0.0,1.0,0
79,8.0,130000.0,1.0,400000.0,1.0,0.0,0.0,0
80,2.0,20000.0,0.0,7500000.0,1.0,0.0,0.0,1
81,1.0,15905.0,0.0,2350000.0,1.0,0.0,0.0,1
82,3.0,21000.0,0.0,2125000.0,1.0,0.0,0.0,0
83,5.0,13000.0,0.0,3950000.0,0.0,0.0,1.0,1
84,9.0,75000.0,0.0,435000.0,1.0,0.0,0.0,0
85,12.0,80000.0,1.0,300000.0,1.0,0.0,0.0,0
86,8.0,50000.0,0.0,245000.0,0.0,0.0,1.0,0
87,2.0,40000.0,1.0,680000.0,0.0,0.0,1.0,0
88,11.0,87000.0,0.0,385000.0,1.0,0.0,0.0,0
89,9.0,155000.0,1.0,589000.0,1.0,0.0,0.0,0
90,10.0,80000.0,1.0,425000.0,1.0,0.0,0.0,0
91,10.0,84000.0,1.0,265000.0,0.0,0.0,1.0,0
92,3.0,18000.0,0.0,850000.0,0.0,0.0,1.0,0
93,7.0,47000.0,0.0,575000.0,0.0,0.0,1.0,0
94,13.0,134000.0,0.0,425000.0,1.0,0.0,0.0,0
95,13.0,82000.0,0.0,180000.0,0.0,0.0,1.0,0
96,9.0,35000.0,0.0,425000.0,0.0,0.0,1.0,0
97,9.0,150000.0,1.0,450000.0,1.0,0.0,0.0,0
98,12.0,132000.0,0.0,1095000.0,1.0,0.0,0.0,0
99,7.0,130000.0,1.0,2500000.0,0.0,0.0,1.0,1
100,4.0,59000.0,0.0,980000.0,0.0,0.0,1.0,0
101,6.0,95000.0,1.0,575000.0,0.0,0.0,1.0,0
102,8.0,115000.0,1.0,110000.0,1.0,0.0,0.0,0
103,2.0,11000.0,0.0,1675000.0,1.0,0.0,0.0,0
104,9.0,68000.0,1.0,1185000.0,0.0,0.0,1.0,0
105,3.0,74000.0,0.0,1199000.0,0.0,0.0,1.0,0
106,12.0,88000.0,0.0,385000.0,0.0,0.0,1.0,0
107,10.0,47000.0,1.0,455000.0,0.0,0.0,1.0,0
108,9.0,16.0,0.0,390000.0,1.0,0.0,0.0,0
109,12.0,68000.0,0.0,235000.0,0.0,0.0,1.0,0
110,17.0,115000.0,1.0,265000.0,0.0,0.0,1.0,0
111,13.0,50000.0,1.0,150000.0,0.0,0.0,1.0,0
112,7.0,98000.0,0.0,600000.0,1.0,0.0,0.0,0
113,5.0,62000.0,0.0,3099000.0,1.0,0.0,0.0,1
114,5.0,67000.0,1.0,899000.0,1.0,0.0,0.0,0
115,9.0,69000.0,1.0,340000.0,0.0,0.0,1.0,0
116,3.0,49000.0,0.0,540000.0,0.0,0.0,1.0,0
117,11.0,162000.0,1.0,390000.0,1.0,0.0,0.0,0
118,6.0,86000.0,0.0,2499000.0,1.0,0.0,0.0,1
119,1.0,35000.0,0.0,2025000.0,1.0,0.0,0.0,0
120,10.0,38000.0,0.0,370000.0,0.0,0.0,1.0,0
121,4.0,105000.0,0.0,1050000.0,1.0,0.0,0.0,0
122,2.0,25500.0,0.0,4199999.0,1.0,0.0,0.0,1
123,9.0,67000.0,0.0,450000.0,0.0,0.0,1.0,0
124,8.0,78000.0,0.0,555000.0,0.0,0.0,1.0,0
125,18.0,191000.0,0.0,295000.0,1.0,0.0,0.0,0
126,6.0,66000.0,1.0,1075000.0,0.0,0.0,1.0,0
127,8.0,75000.0,0.0,1480000.0,1.0,0.0,0.0,0
128,6.0,85600.0,0.0,750000.0,1.0,0.0,0.0,0
129,12.0,155000.0,1.0,650000.0,1.0,0.0,0.0,0
130,14.0,46000.0,1.0,78000.0,0.0,0.0,1.0,0
131,9.0,68000.0,0.0,330000.0,0.0,0.0,1.0,0
132,6.0,73000.0,0.0,590000.0,0.0,0.0,1.0,0
133,13.0,74000.0,1.0,375000.0,0.0,0.0,1.0,0
134,6.0,65000.0,1.0,590000.0,0.0,0.0,1.0,0
135,3.0,50000.0,0.0,3250000.0,0.0,0.0,1.0,1
136,10.0,61000.0,0.0,685000.0,0.0,0.0,1.0,0
137,19.0,98000.0,1.0,160000.0,0.0,0.0,1.0,0
138,7.0,76000.0,1.0,760000.0,1.0,0.0,0.0,0
139,8.0,89100.0,1.0,760000.0,1.0,0.0,0.0,0
140,6.0,73961.0,1.0,935000.0,0.0,0.0,1.0,0
141,5.0,60000.0,0.0,2740000.0,1.0,0.0,0.0,1
142,6.0,46850.0,1.0,880000.0,1.0,0.0,0.0,0
143,1.0,28000.0,0.0,1785000.0,1.0,0.0,0.0,0
144,11.0,99000.0,1.0,470000.0,1.0,0.0,0.0,0
145,15.0,56328.0,0.0,265000.0,0.0,0.0,1.0,0
146,6.0,127000.0,0.0,995000.0,0.0,0.0,1.0,0
147,11.0,78000.0,1.0,790000.0,1.0,0.0,0.0,0
148,2.0,31000.0,0.0,2700000.0,1.0,0.0,0.0,1
149,4.0,57000.0,0.0,3045000.0,1.0,0.0,0.0,1
150,7.0,70000.0,1.0,2650000.0,0.0,0.0,1.0,1
151,10.0,41453.0,1.0,220000.0,0.0,0.0,1.0,0
152,3.0,33000.0,0.0,545000.0,0.0,0.0,1.0,0
153,6.0,37000.0,1.0,460000.0,0.0,0.0,1.0,0
154,9.0,65000.0,0.0,375000.0,0.0,0.0,1.0,0
155,2.0,36000.0,0.0,690000.0,0.0,0.0,1.0,0
156,8.0,130000.0,1.0,1399999.0,1.0,0.0,0.0,0
157,11.0,100000.0,1.0,160000.0,1.0,0.0,0.0,0
158,8.0,93000.0,0.0,2100000.0,1.0,0.0,0.0,0
159,5.0,48000.0,0.0,1065000.0,1.0,0.0,0.0,0
160,8.0,63000.0,1.0,2290000.0,1.0,0.0,0.0,0
161,9.0,85000.0,1.0,560000.0,0.0,0.0,1.0,0
162,7.0,70000.0,0.0,750000.0,1.0,0.0,0.0,0
163,11.0,59000.0,1.0,425000.0,1.0,0.0,0.0,0
164,9.0,72000.0,1.0,390000.0,1.0,0.0,0.0,0
165,12.0,74000.0,1.0,1295000.0,0.0,0.0,1.0,0
166,6.0,78127.0,0.0,785000.0,0.0,0.0,1.0,0
167,4.0,26000.0,0.0,775000.0,0.0,0.0,1.0,0
168,7.0,65663.0,1.0,325000.0,1.0,0.0,0.0,0
169,6.0,24000.0,0.0,4199000.0,0.0,0.0,1.0,1
170,9.0,160000.0,1.0,1250000.0,0.0,0.0,1.0,0
171,4.0,79000.0,1.0,725000.0,1.0,0.0,0.0,0
172,6.0,31000.0,0.0,549000.0,1.0,0.0,0.0,0
173,5.0,55000.0,0.0,1299999.0,1.0,0.0,0.0,0
174,9.0,89000.0,1.0,431000.0,0.0,0.0,1.0,0
175,2.0,37000.0,0.0,1820000.0,1.0,0.0,0.0,0
176,8.0,56000.0,0.0,275000.0,0.0,0.0,1.0,0
177,9.0,75000.0,0.0,2450000.0,0.0,0.0,1.0,1
178,10.0,32001.0,1.0,295000.0,0.0,0.0,1.0,0
179,0.0,22000.0,0.0,260000.0,0.0,0.0,1.0,0
180,14.0,45000.0,1.0,150000.0,0.0,0.0,1.0,0
181,3.0,60000.0,0.0,3200000.0,0.0,0.0,1.0,1
182,3.0,41000.0,0.0,1390000.0,0.0,0.0,1.0,0
183,9.0,51000.0,1.0,499999.0,1.0,0.0,0.0,0
184,3.0,28000.0,1.0,750000.0,1.0,0.0,0.0,0
185,5.0,38000.0,0.0,4450000.0,0.0,0.0,1.0,1
186,5.0,64800.0,0.0,799000.0,0.0,0.0,1.0,0
187,2.0,17300.0,0.0,1995000.0,0.0,0.0,1.0,0
188,11.0,38000.0,0.0,292000.0,0.0,0.0,1.0,0
189,13.0,95000.0,1.0,280000.0,1.0,0.0,0.0,0
190,12.0,72000.0,0.0,165000.0,1.0,0.0,0.0,0
191,8.0,135000.0,1.0,875000.0,1.0,0.0,0.0,0
192,12.0,135000.0,1.0,395000.0,1.0,0.0,0.0,0
193,5.0,160000.0,0.0,695000.0,0.0,0.0,1.0,0
194,2.0,14000.0,0.0,1875000.0,0.0,0.0,1.0,0
195,4.0,50200.0,0.0,1300000.0,0.0,0.0,1.0,0
196,10.0,47000.0,0.0,255000.0,0.0,0.0,1.0,0
197,13.0,59600.0,1.0,210000.0,0.0,0.0,1.0,0
198,14.0,8000.0,1.0,185000.0,0.0,0.0,1.0,0
199,1.0,30000.0,0.0,675000.0,1.0,0.0,0.0,0
200,7.0,54000.0,1.0,365000.0,1.0,0.0,0.0,0
201,26.0,80000.0,1.0,75000.0,1.0,0.0,0.0,0
202,13.0,100000.0,1.0,295000.0,0.0,0.0,1.0,0
203,7.0,48000.0,0.0,1199999.0,1.0,0.0,0.0,0
204,11.0,150000.0,1.0,410000.0,0.0,0.0,1.0,0
205,8.0,63000.0,1.0,650000.0,1.0,0.0,0.0,0
206,10.0,333000.0,1.0,1445000.0,1.0,0.0,0.0,0
207,6.0,62000.0,0.0,695000.0,0.0,0.0,1.0,0
